Date,Affected pages
2026-03-15,169
2026-03-16,169
2026-03-17,169
2026-03-18,675
2026-03-19,675
2026-03-20,675
2026-03-21,675
2026-03-22,828
2026-03-23,828
2026-03-24,828
2026-03-25,991
2026-03-26,991
2026-03-27,991
2026-03-28,991
2026-03-29,1612
2026-03-30,1612
2026-03-31,1612
2026-04-01,1612
2026-04-02,1612
2026-04-03,1612
2026-04-04,1612
