Date,Clicks,Impressions,CTR,Position
2026-03-11,0,0,,
2026-03-12,0,1,0%,75
2026-03-13,0,369,0%,69.6
2026-03-14,1,1605,0.06%,72.9
2026-03-15,3,2059,0.15%,72.6
