Date,Clicks,Impressions,CTR,Position
2026-03-19,0,140,0%,81.9
2026-03-20,0,104,0%,84
2026-03-21,0,115,0%,79.2
2026-03-22,0,93,0%,83.1
2026-03-23,0,61,0%,84.1
2026-03-24,0,38,0%,77.7
2026-03-25,0,34,0%,73.4
