Date,Clicks,Impressions,CTR,Position
2026-03-29,0,62,0%,32.5
2026-03-30,0,78,0%,37.9
2026-03-31,0,75,0%,38.7
2026-04-01,0,86,0%,34.1
2026-04-02,0,81,0%,40.3
2026-04-03,0,79,0%,35.8
2026-04-04,0,90,0%,35.9
